company,product,date,price
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-02-12,17186.46
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-02-12,112.87
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-02-12,2275.7
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-02-12,18396.54
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-02-12,2760.72
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-02-12,62.48
66 Металлообрабатывающий завод,Провода,2025-02-12,103.16
66 Металлообрабатывающий завод,Металлоконструкции,2025-02-12,63724.84
Лепсе,Арматура,2025-02-12,117.19
Лепсе,Сетки металлические,2025-02-12,101.96
Завод Сельмаш,Корпуса,2025-02-12,4415.48
Лискимонтажконструкция,Металлоконструкции,2025-02-12,55234.89
Лискимонтажконструкция,Рессоры,2025-02-12,16466.62
Лискимонтажконструкция,Стальные изделия,2025-02-12,120.03
Завод корпусов,Стальные изделия,2025-02-12,124.01
Завод корпусов,Металлоконструкции,2025-02-12,55517.72
Завод корпусов,Корпуса,2025-02-12,4614.12
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-02-12,128.9
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-02-12,120.05
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-02-12,102.01
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-02-12,127.71
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-02-12,113.95
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-12,98.26
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-02-12,123.15
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-12,107.22
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-12,103.61
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-12,116.54
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-12,110.46
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-02-19,293.47
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-02-19,82.65
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-02-19,2501.17
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-02-19,296.69
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-02-19,78.03
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-02-19,107.67
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-02-19,17439.71
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-02-19,115.21
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-02-19,2200.05
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-02-19,18785.09
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-02-19,2561.45
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-02-19,65.3
66 Металлообрабатывающий завод,Провода,2025-02-19,100.56
66 Металлообрабатывающий завод,Металлоконструкции,2025-02-19,64453.59
Лепсе,Арматура,2025-02-19,114.2
Лепсе,Сетки металлические,2025-02-19,103.23
Завод Сельмаш,Корпуса,2025-02-19,4197.34
Лискимонтажконструкция,Металлоконструкции,2025-02-19,55002.26
Лискимонтажконструкция,Рессоры,2025-02-19,17205.15
Лискимонтажконструкция,Стальные изделия,2025-02-19,120.07
Завод корпусов,Стальные изделия,2025-02-19,121.47
Завод корпусов,Металлоконструкции,2025-02-19,54929.77
Завод корпусов,Корпуса,2025-02-19,4836.32
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-02-19,122.89
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-02-19,126.89
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-02-19,98.42
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-02-19,122.36
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-02-19,110.05
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-19,106.66
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-02-19,117.48
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-19,108.61
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-19,106.4
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-19,123.55
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-19,108.39
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-02-28,251.15
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-02-28,92.99
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-02-28,2461.47
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-02-28,234.26
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-02-28,73.36
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-02-28,113.71
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-02-28,15820.99
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-02-28,104.98
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-02-28,2426.8
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-02-28,17869.48
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-02-28,2748.63
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-02-28,70.14
66 Металлообрабатывающий завод,Провода,2025-02-28,117.39
66 Металлообрабатывающий завод,Металлоконструкции,2025-02-28,64843.41
Лепсе,Арматура,2025-02-28,106.95
Лепсе,Сетки металлические,2025-02-28,119.65
Завод Сельмаш,Корпуса,2025-02-28,5195.31
Лискимонтажконструкция,Металлоконструкции,2025-02-28,54272.23
Лискимонтажконструкция,Рессоры,2025-02-28,14931.04
Лискимонтажконструкция,Стальные изделия,2025-02-28,115.54
Завод корпусов,Стальные изделия,2025-02-28,108.14
Завод корпусов,Металлоконструкции,2025-02-28,60986.19
Завод корпусов,Корпуса,2025-02-28,4379.71
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-02-28,125.71
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-02-28,101.59
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-02-28,108.54
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-02-28,111.9
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-02-28,109.95
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-28,111.36
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-02-28,133.67
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-28,95.5
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-28,114.0
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-28,116.71
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-02-28,121.47
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-03-07,267.05
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-03-07,90.76
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-03-07,2437.62
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-03-07,229.66
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-03-07,76.82
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-03-07,118.36
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-03-07,15900.62
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-03-07,108.01
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-03-07,2354.96
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-03-07,16723.12
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-03-07,2654.44
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-03-07,73.35
66 Металлообрабатывающий завод,Провода,2025-03-07,109.51
66 Металлообрабатывающий завод,Металлоконструкции,2025-03-07,61780.3
Лепсе,Арматура,2025-03-07,106.99
Лепсе,Сетки металлические,2025-03-07,126.84
Завод Сельмаш,Корпуса,2025-03-07,5020.18
Лискимонтажконструкция,Металлоконструкции,2025-03-07,52747.77
Лискимонтажконструкция,Рессоры,2025-03-07,14945.83
Лискимонтажконструкция,Стальные изделия,2025-03-07,110.4
Завод корпусов,Стальные изделия,2025-03-07,109.51
Завод корпусов,Металлоконструкции,2025-03-07,60524.8
Завод корпусов,Корпуса,2025-03-07,4502.93
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-03-07,127.16
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-03-07,101.34
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-03-07,104.95
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-03-07,114.29
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-03-07,114.24
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-07,110.26
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-03-07,131.81
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-07,94.23
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-07,116.78
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-07,116.28
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-07,119.37
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-03-14,247.2
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-03-14,95.8
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-03-14,2570.77
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-03-14,247.78
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-03-14,73.59
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-03-14,120.48
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-03-14,15564.65
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-03-14,108.65
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-03-14,2309.21
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-03-14,17654.39
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-03-14,2515.97
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-03-14,73.04
66 Металлообрабатывающий завод,Провода,2025-03-14,111.24
66 Металлообрабатывающий завод,Металлоконструкции,2025-03-14,63892.71
Лепсе,Арматура,2025-03-14,105.13
Лепсе,Сетки металлические,2025-03-14,123.39
Завод Сельмаш,Корпуса,2025-03-14,5335.44
Лискимонтажконструкция,Металлоконструкции,2025-03-14,55583.12
Лискимонтажконструкция,Рессоры,2025-03-14,15372.57
Лискимонтажконструкция,Стальные изделия,2025-03-14,112.29
Завод корпусов,Стальные изделия,2025-03-14,107.23
Завод корпусов,Металлоконструкции,2025-03-14,60313.52
Завод корпусов,Корпуса,2025-03-14,4484.26
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-03-14,125.4
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-03-14,105.27
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-03-14,108.41
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-03-14,112.85
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-03-14,117.85
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-14,115.41
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-03-14,134.62
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-14,97.04
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-14,115.98
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-14,119.75
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-14,111.04
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-03-21,261.56
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-03-21,89.72
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-03-21,2532.02
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-03-21,240.87
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-03-21,75.55
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-03-21,114.2
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-03-21,15678.09
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-03-21,101.0
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-03-21,2327.8
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-03-21,18041.55
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-03-21,2704.1
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-03-21,72.18
66 Металлообрабатывающий завод,Провода,2025-03-21,113.34
66 Металлообрабатывающий завод,Металлоконструкции,2025-03-21,65796.32
Лепсе,Арматура,2025-03-21,107.56
Лепсе,Сетки металлические,2025-03-21,122.1
Завод Сельмаш,Корпуса,2025-03-21,5312.34
Лискимонтажконструкция,Металлоконструкции,2025-03-21,55449.21
Лискимонтажконструкция,Рессоры,2025-03-21,15679.02
Лискимонтажконструкция,Стальные изделия,2025-03-21,111.98
Завод корпусов,Стальные изделия,2025-03-21,107.94
Завод корпусов,Металлоконструкции,2025-03-21,59994.37
Завод корпусов,Корпуса,2025-03-21,4222.16
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-03-21,125.18
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-03-21,106.69
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-03-21,104.28
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-03-21,122.78
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-03-21,108.63
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-21,105.26
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-03-21,125.88
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-21,94.49
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-21,110.54
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-21,113.44
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-21,115.51
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-03-30,264.9
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-03-30,100.38
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-03-30,2941.81
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-03-30,282.77
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-03-30,84.75
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-03-30,145.96
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-03-30,22899.69
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-03-30,129.7
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-03-30,3230.15
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-03-30,17825.5
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-03-30,3089.52
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-03-30,74.57
66 Металлообрабатывающий завод,Провода,2025-03-30,114.4
66 Металлообрабатывающий завод,Металлоконструкции,2025-03-30,77100.64
Лепсе,Арматура,2025-03-30,121.44
Лепсе,Сетки металлические,2025-03-30,146.47
Завод Сельмаш,Корпуса,2025-03-30,4991.01
Лискимонтажконструкция,Металлоконструкции,2025-03-30,62973.64
Лискимонтажконструкция,Рессоры,2025-03-30,19495.65
Лискимонтажконструкция,Стальные изделия,2025-03-30,109.52
Завод корпусов,Стальные изделия,2025-03-30,146.85
Завод корпусов,Металлоконструкции,2025-03-30,66396.78
Завод корпусов,Корпуса,2025-03-30,4864.92
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-03-30,154.71
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-03-30,124.67
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-03-30,127.68
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-03-30,119.11
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-03-30,125.73
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-30,117.68
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-03-30,131.29
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-30,144.3
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-30,139.79
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-30,148.05
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-03-30,119.68
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-04-06,278.27
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-04-06,105.43
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-04-06,3108.7
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-04-06,280.95
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-04-06,92.89
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-04-06,148.93
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-04-06,22995.08
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-04-06,125.63
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-04-06,3078.95
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-04-06,17951.92
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-04-06,3259.63
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-04-06,73.99
66 Металлообрабатывающий завод,Провода,2025-04-06,109.2
66 Металлообрабатывающий завод,Металлоконструкции,2025-04-06,78219.06
Лепсе,Арматура,2025-04-06,127.61
Лепсе,Сетки металлические,2025-04-06,148.17
Завод Сельмаш,Корпуса,2025-04-06,4689.05
Лискимонтажконструкция,Металлоконструкции,2025-04-06,60791.15
Лискимонтажконструкция,Рессоры,2025-04-06,18739.92
Лискимонтажконструкция,Стальные изделия,2025-04-06,111.75
Завод корпусов,Стальные изделия,2025-04-06,134.3
Завод корпусов,Металлоконструкции,2025-04-06,63216.42
Завод корпусов,Корпуса,2025-04-06,5223.47
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-04-06,155.66
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-04-06,118.75
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-04-06,129.36
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-04-06,118.99
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-04-06,136.42
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-06,123.42
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-04-06,121.06
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-06,140.88
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-06,140.29
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-06,148.15
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-06,119.35
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-04-13,266.57
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-04-13,99.34
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-04-13,2887.6
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-04-13,278.97
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-04-13,87.85
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-04-13,147.26
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-04-13,21864.6
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-04-13,130.5
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-04-13,3120.76
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-04-13,17155.06
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-04-13,3155.89
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-04-13,75.71
66 Металлообрабатывающий завод,Провода,2025-04-13,108.86
66 Металлообрабатывающий завод,Металлоконструкции,2025-04-13,82142.39
Лепсе,Арматура,2025-04-13,119.77
Лепсе,Сетки металлические,2025-04-13,136.23
Завод Сельмаш,Корпуса,2025-04-13,4745.73
Лискимонтажконструкция,Металлоконструкции,2025-04-13,63293.12
Лискимонтажконструкция,Рессоры,2025-04-13,20202.6
Лискимонтажконструкция,Стальные изделия,2025-04-13,112.27
Завод корпусов,Стальные изделия,2025-04-13,144.37
Завод корпусов,Металлоконструкции,2025-04-13,63052.98
Завод корпусов,Корпуса,2025-04-13,5257.62
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-04-13,150.93
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-04-13,120.78
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-04-13,123.5
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-04-13,123.56
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-04-13,127.99
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-13,121.37
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-04-13,127.63
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-13,148.51
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-13,146.35
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-13,143.7
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-13,111.39
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-04-20,276.8
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-04-20,104.05
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-04-20,2876.32
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-04-20,290.67
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-04-20,86.61
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-04-20,149.01
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-04-20,21888.69
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-04-20,136.83
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-04-20,3013.04
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-04-20,17276.81
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-04-20,3017.44
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-04-20,71.07
66 Металлообрабатывающий завод,Провода,2025-04-20,110.32
66 Металлообрабатывающий завод,Металлоконструкции,2025-04-20,78840.33
Лепсе,Арматура,2025-04-20,123.74
Лепсе,Сетки металлические,2025-04-20,148.96
Завод Сельмаш,Корпуса,2025-04-20,4968.84
Лискимонтажконструкция,Металлоконструкции,2025-04-20,59805.2
Лискимонтажконструкция,Рессоры,2025-04-20,20046.44
Лискимонтажконструкция,Стальные изделия,2025-04-20,108.36
Завод корпусов,Стальные изделия,2025-04-20,135.13
Завод корпусов,Металлоконструкции,2025-04-20,66265.49
Завод корпусов,Корпуса,2025-04-20,5060.18
Завод chelyabinskiy-zavod-litoy-ostat,Металлопродукция,2025-04-20,141.6
Завод kamensk-uralskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-04-20,129.58
Завод kirovskiy-zavod-po-obrabotke-tsvetnyh-metallov,Металлопродукция,2025-04-20,121.95
Завод krasnoyarskiy-zavod-tsvetnyh-metallov,Металлопродукция,2025-04-20,118.61
Завод litsey-tsvetnyh-metallov,Металлопродукция,2025-04-20,131.45
Завод balashikhinskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-20,114.99
Завод vladimirskiy-zavod-metalloizdeliy,Металлопродукция,2025-04-20,123.76
Завод voronezhskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-20,150.1
Завод ekaterinburgskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-20,136.21
Завод izhevskiy-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-20,149.49
Завод kazan-metalloobrabatyvayuschiy-zavod,Металлопродукция,2025-04-20,121.01
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Болты,2025-04-29,335.49
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Метизы,2025-04-29,100.7
"ОАО ""Волгоградский завод тракторных деталей и нормалей""",Детали тракторные,2025-04-29,2619.84
"ОАО ""Белебеевский завод ""Автонормаль""",Болты,2025-04-29,288.77
"ОАО ""Белебеевский завод ""Автонормаль""",Пружины,2025-04-29,79.65
"ОАО ""Белебеевский завод ""Автонормаль""",Прессовые изделия,2025-04-29,149.87
"ОАО ""Челябинский кузнечно-прессовый завод""",Рессоры,2025-04-29,17688.84
"ОАО ""Челябинский кузнечно-прессовый завод""",Стальные изделия,2025-04-29,108.63
"ОАО ""Челябинский кузнечно-прессовый завод""",Детали тракторные,2025-04-29,2985.14
"ЗАО ""Белорецкий завод рессор и пружин""",Рессоры,2025-04-29,21281.16
"ЗАО ""Белорецкий завод рессор и пружин""",Детали тракторные,2025-04-29,2494.94
"ЗАО ""Белорецкий завод рессор и пружин""",Пружины,2025-04-29,89.17
